"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","134873","","","","0"
"2010-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","134571","","","","0"
"2010-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","135429","","","","0"
"2010-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","136324","","","","0"
"2010-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","139529","","","","0"
"2010-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","143158","","","","0"
"2010-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","139804","","","","0"
"2010-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","136821","","","","0"
"2010-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","137146","","","","0"
"2010-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","137222","","","","0"
"2010-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","136063","","","","0"
"2010-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","137931","","","","0"
"2010-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","136407","","","","0"
"2011-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","135487","","","","0"
"2011-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","134820","","","","0"
"2011-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","137443","","","","0"
"2011-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","141355","","","","0"
"2011-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","144219","","","","0"
"2011-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","142646","","","","0"
"2011-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","144161","","","","0"
"2011-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","144378","","","","0"
"2011-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","146202","","","","0"
"2011-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","150355","","","","0"
"2011-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","152440","","","","0"
"2011-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","153727","","","","0"
"2012-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","153271","","","","0"
"2012-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","154949","","","","0"
"2012-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","156860","","","","0"
"2012-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","165863","","","","0"
"2012-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","169426","","","","0"
"2012-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","173091","","","","0"
"2012-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","173524","","","","0"
"2012-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","177004","","","","0"
"2012-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","180900","","","","0"
"2012-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","181800","","","","0"
"2012-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","184841","","","","0"
"2012-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","185138","","","","0"
"2013-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","183489","","","","0"
"2013-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","182334","","","","0"
"2013-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","182743","","","","0"
"2013-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","182981","","","","0"
"2013-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","183960","","","","0"
"2013-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","184770","","","","0"
"2013-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","185641","","","","0"
"2013-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","186585","","","","0"
