"REF_DATE","GEO","DGUID","Immigrant status","Labour force characteristics","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2018.1","","","","1"
"2012-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2033.7","","","","1"
"2012-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2054.9","","","","1"
"2012-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2074.1","","","","1"
"2012-11","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2086.1","","","","1"
"2012-12","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2084.7","","","","1"
"2013-01","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2084.4","","","","1"
"2013-02","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2075.5","","","","1"
"2013-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2061.7","","","","1"
"2013-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2076.1","","","","1"
"2013-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2089.5","","","","1"
"2013-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2107.8","","","","1"
"2013-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2096.4","","","","1"
"2013-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2098.7","","","","1"
"2013-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2108.1","","","","1"
"2013-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2116.4","","","","1"
"2013-11","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2112.7","","","","1"
"2013-12","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2103.7","","","","1"
"2014-01","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2095.0","","","","1"
"2014-02","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2085.9","","","","1"
"2014-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2074.7","","","","1"
"2014-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2083.1","","","","1"
"2014-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2088.1","","","","1"
"2014-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2078.2","","","","1"
"2014-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2048.0","","","","1"
"2014-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2039.9","","","","1"
"2014-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2051.4","","","","1"
"2014-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2082.0","","","","1"
"2014-11","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2101.7","","","","1"
"2014-12","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2107.1","","","","1"
"2015-01","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2093.7","","","","1"
"2015-02","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2085.5","","","","1"
"2015-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2089.7","","","","1"
"2015-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2110.5","","","","1"
"2015-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2123.5","","","","1"
"2015-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2138.5","","","","1"
"2015-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2147.1","","","","1"
"2015-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2151.8","","","","1"
"2015-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2159.1","","","","1"
"2015-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2168.4","","","","1"
"2015-11","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2179.9","","","","1"
"2015-12","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2187.7","","","","1"
"2016-01","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2190.9","","","","1"
"2016-02","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2184.6","","","","1"
"2016-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2170.3","","","","1"
"2016-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2169.3","","","","1"
"2016-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2173.2","","","","1"
"2016-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2180.2","","","","1"
"2016-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2162.1","","","","1"
"2016-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2146.6","","","","1"
"2016-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2135.3","","","","1"
"2016-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2131.0","","","","1"
"2016-11","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2142.6","","","","1"
"2016-12","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2156.6","","","","1"
"2017-01","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2175.9","","","","1"
"2017-02","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2187.4","","","","1"
"2017-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2188.5","","","","1"
"2017-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2193.2","","","","1"
"2017-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2193.2","","","","1"
"2017-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2197.0","","","","1"
"2017-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2186.6","","","","1"
"2017-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2183.2","","","","1"
"2017-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2190.3","","","","1"
"2017-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2204.6","","","","1"
"2017-11","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2212.5","","","","1"
"2017-12","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2222.7","","","","1"
"2018-01","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2238.2","","","","1"
"2018-02","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2259.5","","","","1"
"2018-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2254.8","","","","1"
"2018-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2259.8","","","","1"
"2018-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2266.1","","","","1"
"2018-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2280.9","","","","1"
"2018-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2270.7","","","","1"
"2018-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2241.0","","","","1"
"2018-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2227.7","","","","1"
"2018-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2242.3","","","","1"
"2018-11","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2272.9","","","","1"
"2018-12","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2297.9","","","","1"
"2019-01","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2302.2","","","","1"
"2019-02","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2307.6","","","","1"
"2019-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2297.0","","","","1"
"2019-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2297.6","","","","1"
"2019-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2309.2","","","","1"
"2019-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2326.9","","","","1"
"2019-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2339.1","","","","1"
"2019-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2321.4","","","","1"
"2019-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2328.4","","","","1"
"2019-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2325.6","","","","1"
"2019-11","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2337.7","","","","1"
"2019-12","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2340.2","","","","1"
"2020-01","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2354.7","","","","1"
"2020-02","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2359.9","","","","1"
"2020-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2316.0","","","","1"
"2020-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2208.4","","","","1"
"2020-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2089.1","","","","1"
"2020-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2044.5","","","","1"
"2020-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2066.2","","","","1"
"2020-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2128.6","","","","1"
"2020-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2183.3","","","","1"
"2020-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2245.8","","","","1"
"2006-03","Toronto, Ontario","2011S0503535","Landed immigrants","Employment","25 to 54 years","Persons","249","thousands","3","v53036601","10.2.3.2","972.6","","","","1"
"2006-04","Toronto, Ontario","2011S0503535","Landed immigrants","Employment","25 to 54 years","Persons","249","thousands","3","v53036601","10.2.3.2","975.3","","","","1"
"2006-05","Toronto, Ontario","2011S0503535","Landed immigrants","Employment","25 to 54 years","Persons","249","thousands","3","v53036601","10.2.3.2","985.5","","","","1"
"2006-06","Toronto, Ontario","2011S0503535","Landed immigrants","Employment","25 to 54 years","Persons","249","thousands","3","v53036601","10.2.3.2","997.4","","","","1"
"2006-07","Toronto, Ontario","2011S0503535","Landed immigrants","Employment","25 to 54 years","Persons","249","thousands","3","v53036601","10.2.3.2","1014.2","","","","1"
